"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Diana Ross Collection: Mahogany / Lady Sings The Blues","Paramount",,"Out","VAR","LBX, 16:9",12.99,"VAR","VAR","Drama","VAR","032429261342",2017-01-24 00:00:00,295494,2017-01-24 00:00:00,"1"
"Diff'rent Strokes (Shout! Factory): The Complete 4th Season","Shout! Factory",,"Out","2.0","4:3",29.93,"NR","1981","TV Classics","1.33:1","826663136814",2012-11-20 00:00:00,232791,2017-01-24 00:00:00,"1"
"Diff'rent Strokes (Shout! Factory): The Complete 5th Season","Shout! Factory",2017-04-04 00:00:00,"Pending","2.0","4:3",29.93,"NR","1982","TV Classics","1.33:1","826663174458",2017-04-04 00:00:00,298393,2017-01-24 00:00:00,"0"
"Dino Dan: Dino-Go-Seek","Dino Dan",2017-04-04 00:00:00,"Pending","2.0","LBX, 16:9",9.99,"NR","UNK","Family","1.78:1","843501008713",2017-04-04 00:00:00,298492,2017-01-29 00:00:00,"0"
"Do The Right Thing (Criterion Collection/ Special Edition)","Criterion Collection",,"Out","SUR","LBX, 16:9",29.95,"R","1989","Drama","1.85:1","715515194013",2017-01-24 00:00:00,297627,2017-01-24 00:00:00,"1"
"Dragon Ball Z Kai: Season 1","FUNimation",,"Out","SUB","4:3",49.98,"MA13","2009","Anime","1.33:1","704400088964",2012-05-22 00:00:00,224191,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1 (Blu-ray)","FUNimation",,"Out","SUB","4:3, BLU-RAY",54.98,"MA13","2009","Anime","1.33:1","704400088971",2012-05-22 00:00:00,224181,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1 (Blu-ray/ Old Version)","FUNimation",,"Discontinued","SUB","4:3, BLU-RAY",54.98,"MA13","2009","Anime","1.33:1","704400088933",2011-10-18 00:00:00,212166,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1 (Old Version)","FUNimation",,"Recalled","SUB","4:3",49.98,"MA13","2009","Anime","1.33:1","704400088926",2011-10-18 00:00:00,212085,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 1","FUNimation",,"Discontinued","SUB","4:3",29.98,"MA13","2009","Anime","1.33:1","704400087806",2010-05-18 00:00:00,177259,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 1 (Blu-ray)","FUNimation",,"Discontinued","SUB","4:3, BLU-RAY",34.98,"MA13","2009","Anime","1.33:1","704400087813",2010-05-18 00:00:00,177198,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 2","FUNimation",,"Discontinued","SUB","4:3",29.98,"MA13","2009","Anime","1.33:1","704400087820",2010-09-14 00:00:00,184767,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 2 (Blu-ray)","FUNimation",,"Discontinued","SUB","4:3, BLU-RAY",34.98,"MA13","2009","Anime","1.33:1","704400087837",2010-09-14 00:00:00,184821,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 3","FUNimation",,"Discontinued","SUB","4:3",29.98,"MA13","2009","Anime","1.33:1","704400087844",2010-12-14 00:00:00,189959,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 3 (Blu-ray)","FUNimation",,"Discontinued","SUB","4:3, BLU-RAY",34.98,"MA13","2009","Anime","1.33:1","704400087851",2010-12-14 00:00:00,189973,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 4","FUNimation",,"Discontinued","SUB","4:3",29.98,"MA13","2009","Anime","1.33:1","704400087868",2011-03-08 00:00:00,196108,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 4 (Blu-ray)","FUNimation",,"Discontinued","SUB","4:3, BLU-RAY",34.98,"MA13","2009","Anime","1.33:1","704400087875",2011-03-08 00:00:00,196120,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 5","FUNimation",,"Out","SUB","4:3",29.98,"MA13","2009","Anime","1.33:1","704400087882",2011-06-28 00:00:00,199075,2017-01-26 00:00:00,"1"
